"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","states_col"
".@MHSSwimTeam2 senior Laurel Carey wanted to get over the flu in time for #NJSwimming Meet of Champions. She just q… https://t.co/dFySRGXDyx",FALSE,2,NA,NA,TRUE,NA,"1101953108446453760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dailyrecordspts",1,FALSE,FALSE,-74.4173877,40.8652865,"Parsippany, N.J.","New Jersey"
"Elderberries are more effective than vaccines at protecting you against colds and flu https://t.co/hVF6azlZyq",FALSE,6,NA,NA,FALSE,NA,"1101951490539819009",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","drgarynull",5,FALSE,FALSE,-74.0059728,40.7127753,"NYC","New York"
"Public health experts condemn 'dangerous' research funded by government:  Federal government gives apparent green l… https://t.co/HC1MrVGlP5",FALSE,0,NA,NA,TRUE,NA,"1101942876689313796",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","EpicBear",0,FALSE,FALSE,-71.1097335,42.3736158,"Cambridge, MA","Massachusetts"
"Great natural remedy! I just put it to the test and can confirm it does speed the recovery time from the flu. Its 8… https://t.co/sq14l6sRyj",FALSE,0,NA,NA,TRUE,NA,"1101938861855268864",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","FacialAccents",0,FALSE,FALSE,-82.4571776,27.950575,"Tampa, FL","Florida"
"Elderberries are more effective than vaccines at protecting you against colds and flu https://t.co/dlcp3IYalZ",FALSE,0,NA,NA,FALSE,NA,"1101933232013148160",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","freedommeister",0,FALSE,FALSE,-99.9018131,31.9685988,"Texas","State Not Found"
"StaY healthy, it is the season #WUMBO https://t.co/jm7c6of9Ps",FALSE,0,NA,NA,FALSE,NA,"1101924866293297152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wumboworldwide",0,FALSE,FALSE,-119.4179324,36.778261,"California, USA","California"
"How to make it through the rest of cold and flu season without getting sick <U+2066>@BostonGlobe<U+2069> <U+2066>@SimmonsUniv<U+2069>… https://t.co/OIWkThejad",FALSE,2,NA,NA,TRUE,NA,"1101908259022221313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hygienehealth",2,FALSE,FALSE,-71.0999358,42.3393661,"Simmons College, Boston MA ","Massachusetts"
"#Research that can make #flu #viruses more #dangerous was put on hold by the government in 2014. Now, the… https://t.co/295XdfAy83",FALSE,0,NA,NA,TRUE,NA,"1101906282548813827",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","CMRBenefitsGrp",0,FALSE,FALSE,-88.3161965,42.2411344,"Crystal Lake, IL","Illinois"
"A New, More Powerful Strain Of Flu Has Just Hit Colorado https://t.co/CX1QqhT3oP",FALSE,0,NA,NA,FALSE,NA,"1101905660449603584",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Denveratlast1",0,FALSE,FALSE,-105.0166498,39.613321,"Littleton, Colorado","Colorado"
"Studies of Deadly Flu Virus, Once Banned, Are Set to Resume - https://t.co/bYZA9TvgaM",FALSE,0,NA,NA,FALSE,NA,"1101905012966522880",NA,"<a href=""http://www.themepatch.com"" rel=""nofollow"">Twitter Updates Assistant</a>","disabledsenior",0,FALSE,FALSE,-88.7878678,43.7844397,"Wisconsin, USA","State Not Found"
"Research that can make flu viruses more dangerous was put on hold by the government in 2014. Now, the government ha… https://t.co/FD5g0Qr0dp",FALSE,18,NA,NA,TRUE,NA,"1101886076845768704",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NYTScience",28,FALSE,FALSE,-74.0059728,40.7127753,"New York, NY","New York"
"For most, the flu is a misery, not an emergency https://t.co/J0dncZ19zs https://t.co/HsSRUJ1ioD",FALSE,0,NA,NA,FALSE,NA,"1101879622281519106",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","HospRecruiting",4,FALSE,FALSE,-86.5263857,39.165325,"Bloomington, IN","Indiana"
"It's out! 2019 Recommended Adult Immunization Schedule @AnnalsofIM https://t.co/xD2uMsp4Fg - changes this year: liv… https://t.co/okN5fDpFbJ",FALSE,13,NA,NA,TRUE,NA,"1101877248343330816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mad_sters",2,FALSE,FALSE,-74.0059728,40.7127753,"New York, NY","New York"
"That #flu bug is still going around. Make sure you're taking precautions to prevent its spread at work.… https://t.co/kMXlRp1kqy",FALSE,0,NA,NA,TRUE,NA,"1101874969125048321",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Actsoft",0,FALSE,FALSE,-82.4571776,27.950575,"Tampa, FL","Florida"
"WHO RADIO NEWS: The flu has now claimed 14 lives in Iowa https://t.co/VvpSupItjx",FALSE,0,NA,NA,FALSE,NA,"1101873618122932225",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","WHORadio",0,FALSE,FALSE,-93.6249593,41.5868353,"Des Moines, Iowa","Iowa"
"A Tale of Two Flus https://t.co/N1InDruGu2 #Flu",FALSE,0,NA,NA,FALSE,NA,"1101868516813213698",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","BoironUSA",0,FALSE,FALSE,-75.4007058,39.9868904,"Newtown Square, Pa.","Pennsylvania"
"New study finds no link between flu shots and miscarriages, allaying fears https://t.co/xN6f4QYZnW",FALSE,0,NA,NA,FALSE,NA,"1101866502842654721",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","PublicHealthRTs",0,FALSE,FALSE,-95.712891,37.09024,"United States","Kansas"
"Woman Wears Yellow Hazmat Suit to Avoid Flu, Instagrammers Think She’s Disneybounding as the CDA… https://t.co/ImxMLvSsD9",FALSE,0,NA,NA,TRUE,NA,"1101863575210086401",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","LoriDillingham",0,FALSE,FALSE,-86.7816016,36.1626638,"Nashville, TN","Tennessee"
"#ICYMI: New study finds no link between #flu shots and miscarriages, allaying fears via @statnews @HelenBranswell… https://t.co/PlhlrHaXSa",FALSE,5,NA,NA,TRUE,NA,"1101863537817866241",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","NFIDvaccines",2,FALSE,FALSE,-77.0947092,38.984652,"Bethesda, MD","Maryland"
"“This is a global issue, and standards we set in the US will be imitated, whether they are high or low”- <U+2066>… https://t.co/RhrzYykSaD",FALSE,3,NA,NA,TRUE,NA,"1101863422910697472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","T_Inglesby",0,FALSE,FALSE,-76.6121893,39.2903848,"Baltimore, MD","Maryland"
"Research that can make flu viruses more dangerous was put on hold by the government in 2014. Now, the government ha… https://t.co/G4uRSoC32F",FALSE,11,NA,NA,TRUE,NA,"1101862093085650945",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NYTHealth",5,FALSE,FALSE,-74.0059728,40.7127753,"New York, NY","New York"
"Coming Tuesday 5th March 2019, ‘THE SPANISH FLU'  An illustrated talk by Andrew Summers  Managing Editor of  Essex… https://t.co/1ojxa3ZCaO",FALSE,0,NA,NA,TRUE,NA,"1101860738371588106",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EssexHundred",2,FALSE,FALSE,0.4690888,51.7343313,"Essex","England"
"Fighting a nasty flu or cold so the next 1500 are going to be delayed a day or two https://t.co/zJtDRcrUf9 #writing… https://t.co/kpsoomZcgS",FALSE,0,NA,NA,TRUE,NA,"1101859831261134848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DrewRowsome",0,FALSE,FALSE,-79.3831843,43.653226,"Toronto","Ontario"
"Been such an easy germ <U+0001F9A0> season this year. <U+0001F64F> https://t.co/CpNGmSXlIs",FALSE,0,NA,NA,FALSE,NA,"1101855797955489793",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","roofcleaning1",0,FALSE,FALSE,-77.4360481,37.5407246,"Richmond, VA","Virginia"
"Research viruses endanger public safety has to be approved by elected officials. Such experiments must undergo a st… https://t.co/bvzlyqlVWk",FALSE,0,NA,NA,TRUE,NA,"1101846193464852480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Seredynskyi",0,FALSE,FALSE,-74.0059728,40.7127753,"New York, USA","New York"
"Podcast Notes

Finding those random facts that you never would have heard otherwise

Another reason to think twice… https://t.co/NbzGR1qR24",FALSE,16,NA,NA,TRUE,NA,"1101837309094256641",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","podcastnotes",1,FALSE,FALSE,-74.0059728,40.7127753,"New York, USA","New York"
"Until further notice, children younger than 18 will not be allowed to visit CGH patients without approval from the… https://t.co/mggFD02iWw",FALSE,1,NA,NA,TRUE,NA,"1101836884060319745",NA,"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox Social</a>","saukvalley",1,FALSE,FALSE,-89.6962194,41.788642,"Sterling, Illinois","Illinois"
"I think it is probably better for the govt to report the mechanics and structure of the expert panel to increase co… https://t.co/NWwSdSlMaL",FALSE,3,NA,NA,TRUE,NA,"1101832247462760450",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","AmeshAA",0,FALSE,FALSE,-74.0059728,40.7127753,"Pittsburgh, Baltimore, NYC","New York"
"{NEW RECIPE} Healthy Vegetarian Meal Plan – 3.4.19: Nothing like a little bit of FLU in the… https://t.co/BIB2EbJLOy",FALSE,0,NA,NA,FALSE,NA,"1101831116430983170",NA,"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>","joanneeatswell",0,FALSE,FALSE,-74.0059728,40.7127753,"New York, NY","New York"
"A New, More Powerful Strain Of Flu Has Just Hit Colorado – CBS Denver https://t.co/JXwacU99D7 #SmartNews",FALSE,0,NA,NA,FALSE,NA,"1101827011339706368",NA,"<a href=""https://www.smartnews.com/"" rel=""nofollow"">SmartNews | <U+30B9><U+30DE><U+30FC><U+30C8><U+30CB><U+30E5><U+30FC><U+30B9></a>","iconcollector2",0,FALSE,FALSE,-79.9958864,40.4406248,"Pittsburgh, PA","Pennsylvania"
"Studies of Deadly Flu Virus, Once Banned, Are Set to Resume, by @nytDeniseGrady  https://t.co/B9bVs9HSlr via… https://t.co/WFI1fC4bb1",FALSE,0,NA,NA,TRUE,NA,"1101826905819529217",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","picardonhealth",1,FALSE,FALSE,-73.567256,45.5016889,"Montréal","Quebec"
"Studies of Deadly Flu Virus, Once Banned, Are Set to Resume https://t.co/6oQrOI4TIK",FALSE,9,NA,NA,FALSE,NA,"1101821368415465473",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gregkoblentz",8,FALSE,FALSE,-77.3063733,38.8462236,"Fairfax, VA","Virginia"
"Slow start, but it's not over yet: 5 things to know about this year's #fluseason - https://t.co/SivYsMLtxE… https://t.co/ecWr66Vt6g",FALSE,0,NA,NA,TRUE,NA,"1101813178135134209",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","RealtyNetworkG",0,FALSE,FALSE,-75.7085248,41.4886892,"Clarks Summit, PA","Pennsylvania"
"The flu is spreading across America a little later this season https://t.co/3q6UfHxHLU via @business",FALSE,0,NA,NA,FALSE,NA,"1101806509212749824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","echievements",0,FALSE,FALSE,-80.8603868,32.2371465,"Bluffton, SC","South Carolina"
"Local hospital officials say they hope Delaware is nearing the peak of flu season, but doctors haven't seen numbers… https://t.co/iRawjUVIoy",FALSE,0,NA,NA,TRUE,NA,"1101799310914658310",NA,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","delawareonline",0,FALSE,FALSE,-75.5483909,39.744655,"Wilmington, Delaware","Delaware"
"EXCLUSIVE: Controversial experiments that could make bird flu more risky poised to resume https://t.co/21Ssqnv2op",FALSE,0,NA,NA,FALSE,NA,"1101797227805200384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AE1TT",0,FALSE,FALSE,-105.8700901,34.5199402,"Land of Enchantment","State Not Found"
"Flu Shot Won’t Cause Miscarriage, Study Confirms https://t.co/V55CFbdeJ3 https://t.co/eaFYYSWSCf",FALSE,0,NA,NA,FALSE,NA,"1101789562232279040",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","YesICan64588198",0,FALSE,FALSE,-95.712891,37.09024,"Etats-Unis","Kansas"
"2019 is all about weight loss baby, second time getting the stomach flu christmas. praying for dehydration <U+0001F64F><U+0001F3FB><U+0001F64F><U+0001F3FB><U+0001F64F><U+0001F3FB>",FALSE,1,NA,NA,FALSE,NA,"1101788839687979008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KayLuoma",0,FALSE,FALSE,-83.7049498,42.7978061,"Fenton, MI","Michigan"
"The government will allow research on bird flu that had been halted over safety concerns. But officials have not pu… https://t.co/yTfZynYvi0",FALSE,0,NA,NA,TRUE,NA,"1101771011471667203",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","futuredude",0,FALSE,FALSE,-74.0059728,40.7127753,"New York","New York"
"A New, More Powerful Strain Of Flu Has Just Hit Colorado https://t.co/zRKLdNUMUO",FALSE,0,NA,NA,FALSE,NA,"1101735879477993472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","theusaspirit1",0,FALSE,FALSE,-95.712891,37.09024,"United States","Kansas"
"North Carolina health officials represent 21 flu deaths for outdated week – WLOS https://t.co/YJ1iXn68hO https://t.co/Lf7yTy3QQ1",FALSE,0,NA,NA,FALSE,NA,"1101735765275566081",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","WorldWeeklyNew2",0,FALSE,FALSE,-74.0059728,40.7127753,"New York, USA","New York"
"The internet said I had ascension flu. Was I awakening on a deeper level or was it just a cold? https://t.co/c8zBo6j7nH",FALSE,0,NA,NA,FALSE,NA,"1101730736867037184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jae_oh",0,FALSE,FALSE,-99.9018131,31.9685988,"Texas","State Not Found"
"A New, More Powerful Strain Of Flu Has Just Hit Colorado https://t.co/YzOmGCuQNd",FALSE,0,NA,NA,FALSE,NA,"1101717406525853696",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","CuriouslyCrazyW",0,FALSE,FALSE,-104.8202462,41.1399814,"Cheyenne wyoming","Wyoming"
"Studies of Deadly Flu Virus, Once Banned, Are Set to Resume   via @NYTimes. That is reassuring. NOT https://t.co/suGL1ieinR",FALSE,0,NA,NA,FALSE,NA,"1101713233902268416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CriUnChatUnChat",0,FALSE,FALSE,-95.712891,37.09024,"United States","Kansas"
"The caveat of the flu vaccine https://t.co/oviakEgURI https://t.co/48LcgL2zWZ",FALSE,0,NA,NA,FALSE,NA,"1101713198665871361",NA,"<a href=""https://gab.ai"" rel=""nofollow"">Gab.ai</a>","Carlos_S01",0,FALSE,FALSE,-99.133208,19.4326077,"Mexico City","Mexico City"
"The caveat of the flu vaccine https://t.co/oviakEgURI cc @Charbrevolution",FALSE,0,NA,NA,FALSE,NA,"1101713165329592320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Carlos_S01",0,FALSE,FALSE,-99.133208,19.4326077,"Mexico City","Mexico City"
"Flu deaths increasing in Delaware - https://t.co/XZsutZgTxW https://t.co/aSvpzVvyrG",FALSE,0,NA,NA,FALSE,NA,"1101710152988852224",NA,"<a href=""https://www.delbook.com"" rel=""nofollow"">DelBook Post</a>","BookDel",0,FALSE,FALSE,-75.5276699,38.9108325,"Delaware, USA","Delaware"
"Studies of Deadly Flu Virus, Once Banned, Are Set to Resume - https://t.co/0QgnmeI0Nh",FALSE,0,NA,NA,FALSE,NA,"1101708717978984449",NA,"<a href=""http://www.fuzzygood.com"" rel=""nofollow"">Social Rosie Status Updates</a>","social_rosie",0,FALSE,FALSE,-90.1994042,38.6270025,"St. Louis, MO USA","Missouri"
"Research that can make flu viruses more dangerous was put on hold by the government in 2014. Now, the government ha… https://t.co/l7uELzkGkk",FALSE,5,NA,NA,TRUE,NA,"1101698566949650438",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NYTHealth",10,FALSE,FALSE,-74.0059728,40.7127753,"New York, NY","New York"
"Bad news from our Dr Dave Hnida. not too late for the shot!
 
A New, More Powerful Strain Of Flu Has Just Hit Color… https://t.co/dGbZoiyFd8",FALSE,3,NA,NA,TRUE,NA,"1101697140764622849",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jimbcbs4",3,FALSE,FALSE,-104.990251,39.7392358,"Denver, CO","Colorado"
"A New, More Powerful Strain Of Flu Has Just Hit Colorado https://t.co/blSMMNupIp https://t.co/q3ZQhWQZrQ",FALSE,2,NA,NA,FALSE,NA,"1101693385939673088",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","CBSDenver",6,FALSE,FALSE,-104.990251,39.7392358,"Denver, Colorado","Colorado"
"Comments of The <U+2066>@UWMadison<U+2069> official about the goals of the work neglect that the findings of the studies to date… https://t.co/3URRy4Lqi9",FALSE,4,NA,NA,TRUE,NA,"1101691372401278976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mlipsitch",2,FALSE,FALSE,-71.0588801,42.3600825,"Boston, MA","Massachusetts"
"Research that can make flu viruses more dangerous was put on hold by the government in 2014. Now, the government ha… https://t.co/Ka0tMkoog5",FALSE,16,NA,NA,TRUE,NA,"1101690402107805696",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NYTScience",18,FALSE,FALSE,-74.0059728,40.7127753,"New York, NY","New York"
"via @NYTimes new info on the quiet resumption of funding for flu transmission enhancement studies from <U+2066>… https://t.co/ejFtDqKjsT",FALSE,2,NA,NA,TRUE,NA,"1101688770146066437",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mlipsitch",1,FALSE,FALSE,-71.0588801,42.3600825,"Boston, MA","Massachusetts"
"My latest mailday was an accumulation from my flu days and it put me over 270,000 total Cubs cards. Check out what… https://t.co/GBdVhhvfYC",FALSE,3,NA,NA,TRUE,NA,"1101684772923994112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","onemillioncubs",0,FALSE,FALSE,-89.4012302,43.0730517,"Madison, WI","Wisconsin"
"Studies of Deadly Flu Virus, Once Banned, Are Set to Resume   via @NYTimes https://t.co/GIPv5xvHYk",FALSE,1,NA,NA,FALSE,NA,"1101684447475363840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mlipsitch",1,FALSE,FALSE,-71.0588801,42.3600825,"Boston, MA","Massachusetts"
"Studies of Deadly Flu Virus, Once Banned, Are Set to Resume https://t.co/XrVBeGM5R7 https://t.co/OfuP2pddkg",FALSE,0,NA,NA,FALSE,NA,"1101681170071183360",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","AlexMosnick",0,FALSE,FALSE,-87.6297982,41.8781136,"Chicago, IL","Illinois"
"A New, More Powerful Strain Of Flu Has Just Hit Colorado. https://t.co/HK4cgT5JpE",FALSE,0,NA,NA,FALSE,NA,"1101678858061799424",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","InCongressPark",0,FALSE,FALSE,-104.990251,39.7392358,"Denver Colorado","Colorado"
"A New, More Powerful Strain Of Flu Has Just Hit Colorado. https://t.co/56s3FglcNz",FALSE,1,NA,NA,FALSE,NA,"1101678762700275715",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","drdavehnida",0,FALSE,FALSE,-104.990251,39.7392358,"Denver","Colorado"
"The Pennsylvania Department of Health says flu activity in the state has picked up. Via @PittsburghPG
https://t.co/JlFJJShBO6",FALSE,0,NA,NA,FALSE,NA,"1101678514590367744",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","theinclinepgh",0,FALSE,FALSE,-79.9958864,40.4406248,"Pittsburgh, PA","Pennsylvania"
